Name,Artist,Genre,Subgenre,Energy
All The Love You Got,MOTi,pop,dance pop,0.736
Love Is Not Enough,GATTÜSO,pop,dance pop,0.816
Lose Control,MEDUZA,pop,dance pop,0.526
I Wanna Dance,Jonas Blue,pop,dance pop,0.841
Midnight Hour with Boys Noize & Ty Dolla $ign,Skrillex,pop,dance pop,0.899
Pon de Replay,Ed Marquis,pop,dance pop,0.717
So Close,NOTD,pop,dance pop,0.872
Look Into My Eyes,Brando,pop,dance pop,0.541
Not in Control,Glaceo,pop,dance pop,0.633
BLUE,Tiësto,pop,dance pop,0.725
Don't Waste My Time,Kharfi,pop,dance pop,0.687
Beat Of My Heart,Lost Frequencies,pop,dance pop,0.524
Drunken Truth,Steve Void,pop,dance pop,0.745
Jacques,Jax Jones,pop,dance pop,0.547
Something Real,Armin van Buuren,pop,dance pop,0.808
Stay (Don't Go Away) [feat. Raye],David Guetta,pop,dance pop,0.797
Solid Gold,PNAU,pop,dance pop,0.946
One Life,Mike Perry,pop,dance pop,0.757
All ‘Bout The Money,FAULHABER,pop,dance pop,0.779
Never Letting Go,Audien,pop,dance pop,0.765
Used To Love (with Dean Lewis),Martin Garrix,pop,dance pop,0.693
Giulia,Prince Paris,pop,dance pop,0.923
Dreams Of You (feat. Rae Morris),Icarus,pop,dance pop,0.965
I Will Let You Down (feat. KLARA),Madison Mars,pop,dance pop,0.918
Carillon (with Achille Lauro),Nahaze,pop,dance pop,0.562
La Vie - Gabry Ponte Mix,DJ Ross,pop,dance pop,0.88
Lullaby,R3HAB,pop,dance pop,0.8
Say It,Phantoms,pop,dance pop,0.8
All This Time,Deorro,pop,dance pop,0.857
All You Need To Know (feat. Calle Lehmann),Gryffin,pop,dance pop,0.729
Acordeão,Tiësto,pop,dance pop,0.887
My Friend,Yves V,pop,dance pop,0.911
On & On,Alok,pop,dance pop,0.776
Juliet & Romeo,Martin Solveig,pop,dance pop,0.664
All Around The World (La La La),R3HAB,pop,dance pop,0.859
Are You Lonely (feat. ISÁK),Steve Aoki,pop,dance pop,0.793
No More (feat. Brenda Mullen) - Bottai Edit,Alex Gaudino,pop,dance pop,0.674
Close Your Eyes,Felix Jaehn,pop,dance pop,0.823
Buzzing (with Nevve),Audien,pop,dance pop,0.591
Never Be Alone (feat. Aloe Blacc),David Guetta,pop,dance pop,0.906
Insane,Ofenbach,pop,dance pop,0.758
Heaven (feat. Veronica),Dzeko,pop,dance pop,0.882
Don’t Give Up On Me Now (with Julie Bergan),R3HAB,pop,dance pop,0.706
Brave,Don Diablo,pop,dance pop,0.874
Let It Be Me,Steve Aoki,pop,dance pop,0.758
Magnets (feat. Sophie Simmons),Sam Feldt,pop,dance pop,0.802
Don't Give Up On Me,Andy Grammer,pop,dance pop,0.766
Found Love (feat. Lovespeake),MOTi,pop,dance pop,0.888
These Are The Times (feat. JRM),Martin Garrix,pop,dance pop,0.707
Wherever You Go,Jonas Blue,pop,dance pop,0.724
Happy Now,Kygo,pop,dance pop,0.575
Roots,Valerie Broussard,pop,dance pop,0.785
Summer Air (feat. Trevor Guthrie),Hardwell,pop,dance pop,0.574
Remember (with ZOHARA),Gryffin,pop,dance pop,0.906
REMEDY,Alesso,pop,dance pop,0.775
Leave,Borgeous,pop,dance pop,0.665
I'm Not Sorry,Hardwell,pop,dance pop,0.819
Better When You're Gone,David Guetta,pop,dance pop,0.795
Wish You Well,Sigala,pop,dance pop,0.895
Only When It Rains,Frank Walker,pop,dance pop,0.724
Better Day (feat. Aloe Blacc),Young Bombs,pop,dance pop,0.823
Discovery,Syn Cole,pop,dance pop,0.857
2 Hearts (feat. Gia Koka),Sam Feldt,pop,dance pop,0.754
Love You Forever,Nicky Romero,pop,dance pop,0.698
Post Malone (feat. RANI),Sam Feldt,pop,dance pop,0.642
Thorns,Faustix,pop,dance pop,0.825
True Colors (feat. Maya Avedis),XO Cupid,pop,dance pop,0.63
Crying In The Sun,Faustix,pop,dance pop,0.786
Need You,Faustix,pop,dance pop,0.705
Sweet Dreams (Are Made of This),Winati,pop,dance pop,0.647
Million Lights,Tungevaag & Raaban,pop,dance pop,0.907
Dancing in the Moonlight,Jubël,pop,dance pop,0.617
Heaven,Avicii,pop,dance pop,0.873
